Region,Month/Year,Occupancy Rate,Room nights sold (Rounded to nearest thousand)
Cape Breton,August 2011,0,70000
Northumberland Shore,August 2011,0,30000
Bay of Fundy/Annapolis Valley,August 2011,0,48000
Yarmouth/Acadian Shores,August 2011,0,7000
Province,August 2011,0,340000
South Shore,September 2011,0,22000
Halifax Metro,September 2011,0,134000
Eastern Shore,September 2011,0,4000
Cape Breton,September 2011,0,54000
Northumberland Shore,September 2011,0,21000
Bay of Fundy/Annapolis Valley,September 2011,0,39000
Yarmouth/Acadian Shores,September 2011,0,6000
Province,September 2011,0,279000
South Shore,October 2011,0,16000
Halifax Metro,October 2011,0,118000
Eastern Shore,October 2011,0,2000
Cape Breton,October 2011,0,41000
Northumberland Shore,October 2011,0,18000
Bay of Fundy/Annapolis Valley,October 2011,0,29000
Yarmouth/Acadian Shores,October 2011,0,5000
Province,October 2011,0,230000
South Shore,November 2011,0,9000
Halifax Metro,November 2011,0,102000
Eastern Shore,November 2011,0,0
Cape Breton,November 2011,0,18000
Northumberland Shore,November 2011,0,14000
Bay of Fundy/Annapolis Valley,November 2011,0,19000
Yarmouth/Acadian Shores,November 2011,0,5000
Province,November 2011,0,166000
South Shore,December 2011,0,7000
Halifax Metro,December 2011,0,69000
Eastern Shore,December 2011,0,0
Cape Breton,December 2011,0,12000
Northumberland Shore,December 2011,0,9000
Bay of Fundy/Annapolis Valley,December 2011,0,12000
Yarmouth/Acadian Shores,December 2011,0,3000
Province,December 2011,0,113000
South Shore,January 2012,0,6000
Halifax Metro,January 2012,0,72000
Eastern Shore,January 2012,0,0
Cape Breton,January 2012,0,13000
Northumberland Shore,January 2012,0,10000
Bay of Fundy/Annapolis Valley,January 2012,0,10000
Yarmouth/Acadian Shores,January 2012,0,3000
Province,January 2012,0,114000
South Shore,February 2012,0,7000
Halifax Metro,February 2012,0,84000
Eastern Shore,February 2012,0,0
Cape Breton,February 2012,0,12000
Northumberland Shore,February 2012,0,11000
Bay of Fundy/Annapolis Valley,February 2012,0,15000
Yarmouth/Acadian Shores,February 2012,0,3000
Province,February 2012,0,132000
South Shore,March 2012,0,8000
Halifax Metro,March 2012,0,105000
Eastern Shore,March 2012,0,0
Cape Breton,March 2012,0,16000
Northumberland Shore,March 2012,0,12000
Bay of Fundy/Annapolis Valley,March 2012,0,19000
Yarmouth/Acadian Shores,March 2012,0,4000
Province,March 2012,0,163000
South Shore,April 2012,0,7000
Halifax Metro,April 2012,0,98000
Eastern Shore,April 2012,0,0
Cape Breton,April 2012,0,13000
Northumberland Shore,April 2012,0,10000
Bay of Fundy/Annapolis Valley,April 2012,0,16000
Yarmouth/Acadian Shores,April 2012,0,4000
Province,April 2012,0,147000
South Shore,May 2012,0,11000
Halifax Metro,May 2012,0,128000
Eastern Shore,May 2012,0,1000
