Mode of entry,Month/Year,Visitor Origin,Country,Number of Visitors (Rounded to nearest hundred)
Air,February 2007,West South Central,United States,200
Air,February 2007,Mountain,United States,200
Air,February 2007,Pacific,United States,400
Air,February 2007,United Kingdom,Overseas,900
Air,February 2007,Germany,Overseas,200
Air,February 2007,Other Europe,Overseas,900
Air,February 2007,Other Overseas,Overseas,900
Road,February 2007,Atlantic Canada,Canada,"62,300"
Road,February 2007,Quebec,Canada,400
Road,February 2007,Ontario,Canada,"2,000"
Road,February 2007,Western Canada,Canada,100
Road,February 2007,Maine (by road only),United States,200
Road,February 2007,Other New England,United States,300
Road,February 2007,Middle Atlantic,United States,100
Road,February 2007,East North Central,United States,0
Road,February 2007,West North Central,United States,0
Road,February 2007,South Atlantic,United States,100
Road,February 2007,East South Central,United States,0
Road,February 2007,West South Central,United States,0
Road,February 2007,Mountain,United States,0
Road,February 2007,Pacific,United States,0
Road,February 2007,Overseas,Overseas,0
Air,March 2007,Atlantic Canada,Canada,"8,000"
Air,March 2007,Quebec,Canada,"3,800"
Air,March 2007,Ontario,Canada,"16,200"
Air,March 2007,Western Canada,Canada,"4,500"
Air,March 2007,New England (inc Maine),United States,900
Air,March 2007,Middle Atlantic,United States,600
Air,March 2007,East North Central,United States,500
Air,March 2007,West North Central,United States,200
Air,March 2007,South Atlantic,United States,900
Air,March 2007,East South Central,United States,0
Air,March 2007,West South Central,United States,300
Air,March 2007,Mountain,United States,200
Air,March 2007,Pacific,United States,300
Air,March 2007,United Kingdom,Overseas,800
Air,March 2007,Germany,Overseas,300
Air,March 2007,Other Europe,Overseas,600
Air,March 2007,Other Overseas,Overseas,"1,000"
Road,March 2007,Atlantic Canada,Canada,"77,800"
Road,March 2007,Quebec,Canada,"1,100"
Road,March 2007,Ontario,Canada,"3,600"
Road,March 2007,Western Canada,Canada,300
Road,March 2007,Maine (by road only),United States,500
Road,March 2007,Other New England,United States,600
Road,March 2007,Middle Atlantic,United States,400
Road,March 2007,East North Central,United States,100
Road,March 2007,West North Central,United States,0
Road,March 2007,South Atlantic,United States,200
Road,March 2007,East South Central,United States,0
Road,March 2007,West South Central,United States,0
Road,March 2007,Mountain,United States,0
Road,March 2007,Pacific,United States,0
Road,March 2007,Overseas,Overseas,0
Air,April 2007,Atlantic Canada,Canada,"8,000"
Air,April 2007,Quebec,Canada,"3,600"
Air,April 2007,Ontario,Canada,"17,700"
Air,April 2007,Western Canada,Canada,"8,900"
Air,April 2007,New England (inc Maine),United States,700
Air,April 2007,Middle Atlantic,United States,800
Air,April 2007,East North Central,United States,500
Air,April 2007,West North Central,United States,200
Air,April 2007,South Atlantic,United States,"1,200"
Air,April 2007,East South Central,United States,200
Air,April 2007,West South Central,United States,400
Air,April 2007,Mountain,United States,300
Air,April 2007,Pacific,United States,500
Air,April 2007,United Kingdom,Overseas,"1,300"
Air,April 2007,Germany,Overseas,300
Air,April 2007,Other Europe,Overseas,600
Air,April 2007,Other Overseas,Overseas,600
Road,April 2007,Atlantic Canada,Canada,"75,300"
Road,April 2007,Quebec,Canada,"1,400"
Road,April 2007,Ontario,Canada,"5,600"
Road,April 2007,Western Canada,Canada,500
Road,April 2007,Maine (by road only),United States,800
Road,April 2007,Other New England,United States,"1,000"
Road,April 2007,Middle Atlantic,United States,500
Road,April 2007,East North Central,United States,100
Road,April 2007,West North Central,United States,0
Road,April 2007,South Atlantic,United States,400
Road,April 2007,East South Central,United States,0
Road,April 2007,West South Central,United States,0
Road,April 2007,Mountain,United States,100
Road,April 2007,Pacific,United States,0
Road,April 2007,Overseas,Overseas,0
Air,May 2007,Atlantic Canada,Canada,"7,400"
Air,May 2007,Quebec,Canada,"3,000"
Air,May 2007,Ontario,Canada,"19,500"
Air,May 2007,Western Canada,Canada,"9,800"
Air,May 2007,New England (inc Maine),United States,800
Air,May 2007,Middle Atlantic,United States,"1,300"
Air,May 2007,East North Central,United States,700
Air,May 2007,West North Central,United States,200
Air,May 2007,South Atlantic,United States,"1,300"
Air,May 2007,East South Central,United States,100
Air,May 2007,West South Central,United States,300
Air,May 2007,Mountain,United States,200
Air,May 2007,Pacific,United States,600
Air,May 2007,United Kingdom,Overseas,"1,500"
Air,May 2007,Germany,Overseas,300
Air,May 2007,Other Europe,Overseas,900
Air,May 2007,Other Overseas,Overseas,"1,800"
Road,May 2007,Atlantic Canada,Canada,"92,600"
Road,May 2007,Quebec,Canada,"2,400"
Road,May 2007,Ontario,Canada,"11,500"
Road,May 2007,Western Canada,Canada,"1,400"
Road,May 2007,Maine (by road only),United States,"1,000"
Road,May 2007,Other New England,United States,"1,600"
Road,May 2007,Middle Atlantic,United States,"1,000"
Road,May 2007,East North Central,United States,300
Road,May 2007,West North Central,United States,100
